Task,Description,episode,contestant,score,series
4,Make the house haunted.,Episode 2: The Lure of the Treacle Puppies. (25 March 2021),Sarah Kendall,5,11
5,Live: Correctly guess your standing in the group. The Taskmaster will read out a category. Then you must hold the number that reflects your standing in the group.,Episode 2: The Lure of the Treacle Puppies. (25 March 2021),Charlotte Ritchie,2,11
5,Live: Correctly guess your standing in the group. The Taskmaster will read out a category. Then you must hold the number that reflects your standing in the group.,Episode 2: The Lure of the Treacle Puppies. (25 March 2021),Jamali Maddix,2,11
5,Live: Correctly guess your standing in the group. The Taskmaster will read out a category. Then you must hold the number that reflects your standing in the group.,Episode 2: The Lure of the Treacle Puppies. (25 March 2021),Lee Mack,5,11
5,Live: Correctly guess your standing in the group. The Taskmaster will read out a category. Then you must hold the number that reflects your standing in the group.,Episode 2: The Lure of the Treacle Puppies. (25 March 2021),Mike Wozniak,4,11
5,Live: Correctly guess your standing in the group. The Taskmaster will read out a category. Then you must hold the number that reflects your standing in the group.,Episode 2: The Lure of the Treacle Puppies. (25 March 2021),Sarah Kendall,4,11
1,Prize: Most shocking thing bigger than a cat but smaller than a pig.,Episode 3: Run up a tree to the moon. (1 April 2021),Charlotte Ritchie,1,11
1,Prize: Most shocking thing bigger than a cat but smaller than a pig.,Episode 3: Run up a tree to the moon. (1 April 2021),Jamali Maddix,3,11
1,Prize: Most shocking thing bigger than a cat but smaller than a pig.,Episode 3: Run up a tree to the moon. (1 April 2021),Lee Mack,5,11
1,Prize: Most shocking thing bigger than a cat but smaller than a pig.,Episode 3: Run up a tree to the moon. (1 April 2021),Mike Wozniak,3,11
1,Prize: Most shocking thing bigger than a cat but smaller than a pig.,Episode 3: Run up a tree to the moon. (1 April 2021),Sarah Kendall,3,11
2,Make the sauna stones hiss. You must be standing behind the rope when the sauna stones hiss. You may not move the sauna stones or this rope. You may not use a hose.,Episode 3: Run up a tree to the moon. (1 April 2021),Charlotte Ritchie,4,11
2,Make the sauna stones hiss. You must be standing behind the rope when the sauna stones hiss. You may not move the sauna stones or this rope. You may not use a hose.,Episode 3: Run up a tree to the moon. (1 April 2021),Jamali Maddix,1,11
2,Make the sauna stones hiss. You must be standing behind the rope when the sauna stones hiss. You may not move the sauna stones or this rope. You may not use a hose.,Episode 3: Run up a tree to the moon. (1 April 2021),Lee Mack,2,11
2,Make the sauna stones hiss. You must be standing behind the rope when the sauna stones hiss. You may not move the sauna stones or this rope. You may not use a hose.,Episode 3: Run up a tree to the moon. (1 April 2021),Mike Wozniak,3,11
2,Make the sauna stones hiss. You must be standing behind the rope when the sauna stones hiss. You may not move the sauna stones or this rope. You may not use a hose.,Episode 3: Run up a tree to the moon. (1 April 2021),Sarah Kendall,5,11
3,Create the best new way to remember how many days each of the months has.,Episode 3: Run up a tree to the moon. (1 April 2021),Charlotte Ritchie,3,11
